major_theme,mid_level_theme,level,connection_type,reference,notes
Prophecy & Revelation,Day of the Lord,FINE_GRAINED,Direct Reference,1 Thessalonians 5,
Prophecy & Revelation,Day of the Lord,FINE_GRAINED,Direct Reference,2 Peter 3,
Wisdom & Understanding,Nature of Wisdom,MID_LEVEL,,,Nature of Wisdom - 7 connections
Wisdom & Understanding,Nature of Wisdom,FINE_GRAINED,Direct Reference,Proverbs 1-9,
Wisdom & Understanding,Nature of Wisdom,FINE_GRAINED,Direct Reference,Job 28,
Wisdom & Understanding,Nature of Wisdom,FINE_GRAINED,Direct Reference,Sirach 1-24,
Wisdom & Understanding,Nature of Wisdom,FINE_GRAINED,Direct Reference,Wisdom 6-10,
Wisdom & Understanding,Nature of Wisdom,FINE_GRAINED,Direct Reference,Daniel 2:20-23,
Wisdom & Understanding,Nature of Wisdom,FINE_GRAINED,Direct Reference,James 1:5,
Wisdom & Understanding,Nature of Wisdom,FINE_GRAINED,Direct Reference,Colossians 2:3,
Wisdom & Understanding,Fear of the Lord,MID_LEVEL,,,Fear of the Lord - 7 connections
Wisdom & Understanding,Fear of the Lord,FINE_GRAINED,Direct Reference,Proverbs 1:7,
Wisdom & Understanding,Fear of the Lord,FINE_GRAINED,Direct Reference,Proverbs 9:10,
Wisdom & Understanding,Fear of the Lord,FINE_GRAINED,Direct Reference,Job 28:28,
Wisdom & Understanding,Fear of the Lord,FINE_GRAINED,Direct Reference,Psalm 111:10,
Wisdom & Understanding,Fear of the Lord,FINE_GRAINED,Direct Reference,Ecclesiastes 12:13,
Wisdom & Understanding,Fear of the Lord,FINE_GRAINED,Direct Reference,Sirach 1:12-20,
Wisdom & Understanding,Fear of the Lord,FINE_GRAINED,Direct Reference,Acts 9:31,
Wisdom & Understanding,Parables & Riddles,MID_LEVEL,,,Parables & Riddles - 8 connections
Wisdom & Understanding,Parables & Riddles,FINE_GRAINED,Direct Reference,Judges 14,
Wisdom & Understanding,Parables & Riddles,FINE_GRAINED,Direct Reference,2 Samuel 12,
Wisdom & Understanding,Parables & Riddles,FINE_GRAINED,Direct Reference,1 Kings 20,
Wisdom & Understanding,Parables & Riddles,FINE_GRAINED,Direct Reference,Ezekiel 17,
Wisdom & Understanding,Parables & Riddles,FINE_GRAINED,Direct Reference,Hosea 12:10,
Wisdom & Understanding,Parables & Riddles,FINE_GRAINED,Direct Reference,Psalm 49,
Wisdom & Understanding,Parables & Riddles,FINE_GRAINED,Direct Reference,Psalm 78,
Wisdom & Understanding,Parables & Riddles,FINE_GRAINED,Direct Reference,Mark 4,
Wisdom & Understanding,Two Ways,MID_LEVEL,,,Two Ways - 7 connections
Wisdom & Understanding,Two Ways,FINE_GRAINED,Direct Reference,Deuteronomy 30,
Wisdom & Understanding,Two Ways,FINE_GRAINED,Direct Reference,Psalm 1,
Wisdom & Understanding,Two Ways,FINE_GRAINED,Direct Reference,Jeremiah 21:8,
Wisdom & Understanding,Two Ways,FINE_GRAINED,Direct Reference,Proverbs 4,
Wisdom & Understanding,Two Ways,FINE_GRAINED,Direct Reference,Sirach 15:14-17,
Wisdom & Understanding,Two Ways,FINE_GRAINED,Direct Reference,Matthew 7:13-14,
Wisdom & Understanding,Two Ways,FINE_GRAINED,Direct Reference,2 Peter 2:20-22,
Kingship & Messiah,Divine Kingship,MID_LEVEL,,,Divine Kingship - 8 connections
Kingship & Messiah,Divine Kingship,FINE_GRAINED,Direct Reference,Psalm 47,
Kingship & Messiah,Divine Kingship,FINE_GRAINED,Direct Reference,Psalm 93,
Kingship & Messiah,Divine Kingship,FINE_GRAINED,Direct Reference,Psalm 97,
Kingship & Messiah,Divine Kingship,FINE_GRAINED,Direct Reference,Psalm 99,
Kingship & Messiah,Divine Kingship,FINE_GRAINED,Direct Reference,Isaiah 6:5,
Kingship & Messiah,Divine Kingship,FINE_GRAINED,Direct Reference,Jeremiah 10:7,
Kingship & Messiah,Divine Kingship,FINE_GRAINED,Direct Reference,Daniel 4:34-35,
Kingship & Messiah,Divine Kingship,FINE_GRAINED,Direct Reference,1 Timothy 6:15-16,
Kingship & Messiah,Davidic King,MID_LEVEL,,,Davidic King - 8 connections
Kingship & Messiah,Davidic King,FINE_GRAINED,Direct Reference,2 Samuel 7,
Kingship & Messiah,Davidic King,FINE_GRAINED,Direct Reference,Psalm 2,
Kingship & Messiah,Davidic King,FINE_GRAINED,Direct Reference,Psalm 72,
Kingship & Messiah,Davidic King,FINE_GRAINED,Direct Reference,Psalm 89,
Kingship & Messiah,Davidic King,FINE_GRAINED,Direct Reference,Psalm 110,
Kingship & Messiah,Davidic King,FINE_GRAINED,Direct Reference,Isaiah 11,
Kingship & Messiah,Davidic King,FINE_GRAINED,Direct Reference,Jeremiah 23,
Kingship & Messiah,Davidic King,FINE_GRAINED,Direct Reference,Ezekiel 34,
Kingship & Messiah,Messianic Prophecies,MID_LEVEL,,,Messianic Prophecies - 8 connections
Kingship & Messiah,Messianic Prophecies,FINE_GRAINED,Direct Reference,Isaiah 7:14,
Kingship & Messiah,Messianic Prophecies,FINE_GRAINED,Direct Reference,Isaiah 9:6-7,
Kingship & Messiah,Messianic Prophecies,FINE_GRAINED,Direct Reference,Isaiah 53,
Kingship & Messiah,Messianic Prophecies,FINE_GRAINED,Direct Reference,Jeremiah 23:5-6,
Kingship & Messiah,Messianic Prophecies,FINE_GRAINED,Direct Reference,Ezekiel 37:24-28,
Kingship & Messiah,Messianic Prophecies,FINE_GRAINED,Direct Reference,Daniel 7:13-14,
Kingship & Messiah,Messianic Prophecies,FINE_GRAINED,Direct Reference,Micah 5:2-5,
Kingship & Messiah,Messianic Prophecies,FINE_GRAINED,Direct Reference,Zechariah 9:9,
Kingship & Messiah,Royal Psalms,MID_LEVEL,,,Royal Psalms - 9 connections
Kingship & Messiah,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 2,
Kingship & Messiah,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 18,
Kingship & Messiah,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 20,
Kingship & Messiah,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 21,
Kingship & Messiah,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 45,
Kingship & Messiah,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 72,
Kingship & Messiah,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 89,
Kingship & Messiah,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 110,
Kingship & Messiah,Royal Psalms,FINE_GRAINED,Direct Reference,Psalm 144,
Temple & Worship,Tabernacle,MID_LEVEL,,,Tabernacle - 7 connections
Temple & Worship,Tabernacle,FINE_GRAINED,Direct Reference,Exodus 25-40,
Temple & Worship,Tabernacle,FINE_GRAINED,Direct Reference,Numbers 1-10,
Temple & Worship,Tabernacle,FINE_GRAINED,Direct Reference,Hebrews 8-9,
Temple & Worship,Tabernacle,FINE_GRAINED,Direct Reference,Revelation 21,
Temple & Worship,Tabernacle,FINE_GRAINED,Direct Reference,2 Chronicles 5-7,
Temple & Worship,Tabernacle,FINE_GRAINED,Direct Reference,Acts 7:44-50,
Temple & Worship,Tabernacle,FINE_GRAINED,Direct Reference,Sirach 24:23-29,
Temple & Worship,Solomon's Temple,MID_LEVEL,,,Solomon's Temple - 7 connections
Temple & Worship,Solomon's Temple,FINE_GRAINED,Direct Reference,1 Kings 5-8,
Temple & Worship,Solomon's Temple,FINE_GRAINED,Direct Reference,2 Chronicles 2-7,
Temple & Worship,Solomon's Temple,FINE_GRAINED,Direct Reference,Psalm 132,
Temple & Worship,Solomon's Temple,FINE_GRAINED,Direct Reference,Ezekiel 40-48,
Temple & Worship,Solomon's Temple,FINE_GRAINED,Direct Reference,Haggai 2,
Temple & Worship,Solomon's Temple,FINE_GRAINED,Direct Reference,Zechariah 6:12-13,
Temple & Worship,Solomon's Temple,FINE_GRAINED,Direct Reference,John 2:19-21,
Temple & Worship,Priesthood,MID_LEVEL,,,Priesthood - 8 connections
Temple & Worship,Priesthood,FINE_GRAINED,Direct Reference,Exodus 28-29,
Temple & Worship,Priesthood,FINE_GRAINED,Direct Reference,Leviticus 8-10,
Temple & Worship,Priesthood,FINE_GRAINED,Direct Reference,Numbers 18,
Temple & Worship,Priesthood,FINE_GRAINED,Direct Reference,Deuteronomy 18,
Temple & Worship,Priesthood,FINE_GRAINED,Direct Reference,Psalm 110,
Temple & Worship,Priesthood,FINE_GRAINED,Direct Reference,Hebrews 5-7,
Temple & Worship,Priesthood,FINE_GRAINED,Direct Reference,1 Peter 2:5-9,
Temple & Worship,Priesthood,FINE_GRAINED,Direct Reference,Revelation 1:6,
Temple & Worship,Sacrifices & Offerings,MID_LEVEL,,,Sacrifices & Offerings - 8 connections
Temple & Worship,Sacrifices & Offerings,FINE_GRAINED,Direct Reference,Leviticus 1-7,
Temple & Worship,Sacrifices & Offerings,FINE_GRAINED,Direct Reference,Numbers 28-29,
Temple & Worship,Sacrifices & Offerings,FINE_GRAINED,Direct Reference,Deuteronomy 12,
Temple & Worship,Sacrifices & Offerings,FINE_GRAINED,Direct Reference,Psalm 40:6,
Temple & Worship,Sacrifices & Offerings,FINE_GRAINED,Direct Reference,Psalm 50,
Temple & Worship,Sacrifices & Offerings,FINE_GRAINED,Direct Reference,Psalm 51,
Temple & Worship,Sacrifices & Offerings,FINE_GRAINED,Direct Reference,Hebrews 9-10,
Temple & Worship,Sacrifices & Offerings,FINE_GRAINED,Direct Reference,1 Corinthians 5:7,
Exile & Diaspora,Assyrian Exile,MID_LEVEL,,,Assyrian Exile - 8 connections
Exile & Diaspora,Assyrian Exile,FINE_GRAINED,Direct Reference,2 Kings 15-17,
Exile & Diaspora,Assyrian Exile,FINE_GRAINED,Direct Reference,2 Chronicles 30,
Exile & Diaspora,Assyrian Exile,FINE_GRAINED,Direct Reference,Isaiah 36-37,
Exile & Diaspora,Assyrian Exile,FINE_GRAINED,Direct Reference,Hosea,
Exile & Diaspora,Assyrian Exile,FINE_GRAINED,Direct Reference,Amos,
Exile & Diaspora,Assyrian Exile,FINE_GRAINED,Direct Reference,Micah,
Exile & Diaspora,Assyrian Exile,FINE_GRAINED,Direct Reference,Judith,
Exile & Diaspora,Assyrian Exile,FINE_GRAINED,Direct Reference,Tobit 1-2,
Exile & Diaspora,Babylonian Exile,MID_LEVEL,,,Babylonian Exile - 8 connections
Exile & Diaspora,Babylonian Exile,FINE_GRAINED,Direct Reference,2 Kings 24-25,
Exile & Diaspora,Babylonian Exile,FINE_GRAINED,Direct Reference,2 Chronicles 36,
Exile & Diaspora,Babylonian Exile,FINE_GRAINED,Direct Reference,Jeremiah 24-29,
Exile & Diaspora,Babylonian Exile,FINE_GRAINED,Direct Reference,Jeremiah 52,
Exile & Diaspora,Babylonian Exile,FINE_GRAINED,Direct Reference,Ezekiel 1-24,
Exile & Diaspora,Babylonian Exile,FINE_GRAINED,Direct Reference,Lamentations,
Exile & Diaspora,Babylonian Exile,FINE_GRAINED,Direct Reference,Daniel 1-6,
Exile & Diaspora,Babylonian Exile,FINE_GRAINED,Direct Reference,Baruch,
Exile & Diaspora,Restoration,MID_LEVEL,,,Restoration - 8 connections
Exile & Diaspora,Restoration,FINE_GRAINED,Direct Reference,Ezra 1-6,
Exile & Diaspora,Restoration,FINE_GRAINED,Direct Reference,Nehemiah 1-13,
Exile & Diaspora,Restoration,FINE_GRAINED,Direct Reference,Haggai,
Exile & Diaspora,Restoration,FINE_GRAINED,Direct Reference,Zechariah,
Exile & Diaspora,Restoration,FINE_GRAINED,Direct Reference,Malachi,
Exile & Diaspora,Restoration,FINE_GRAINED,Direct Reference,Isaiah 40-55,
Exile & Diaspora,Restoration,FINE_GRAINED,Direct Reference,Jeremiah 30-33,
Exile & Diaspora,Restoration,FINE_GRAINED,Direct Reference,Ezekiel 33-48,
Exile & Diaspora,Diaspora Life,MID_LEVEL,,,Diaspora Life - 9 connections
Exile & Diaspora,Diaspora Life,FINE_GRAINED,Direct Reference,Esther,
Exile & Diaspora,Diaspora Life,FINE_GRAINED,Direct Reference,Daniel,
Exile & Diaspora,Diaspora Life,FINE_GRAINED,Direct Reference,Tobit,
Exile & Diaspora,Diaspora Life,FINE_GRAINED,Direct Reference,Judith,
Exile & Diaspora,Diaspora Life,FINE_GRAINED,Direct Reference,1-2 Maccabees,
