major_theme,mid_level_theme,level,connection_type,reference,description,testament,genre
Creation & Primeval History,Patriarchs Before Flood,FINE_GRAINED,Direct Reference,Hebrews 11:5,Enoch's faith,New Testament,General
Creation & Primeval History,Patriarchs Before Flood,FINE_GRAINED,Direct Reference,Jude 1:14-15,Enoch's prophecy,New Testament,General
Creation & Primeval History,The Flood,MID_LEVEL,,,The Flood - 8 passages,Old Testament,General
Creation & Primeval History,The Flood,FINE_GRAINED,Direct Reference,Genesis 6:5-22,Decision to flood,Old Testament,Narrative
Creation & Primeval History,The Flood,FINE_GRAINED,Direct Reference,Genesis 7,Flood narrative,Old Testament,Narrative
Creation & Primeval History,The Flood,FINE_GRAINED,Direct Reference,Genesis 8,Waters recede,Old Testament,Narrative
Creation & Primeval History,The Flood,FINE_GRAINED,Direct Reference,Genesis 9:1-7,Noahic covenant,Old Testament,Narrative
Creation & Primeval History,The Flood,FINE_GRAINED,Direct Reference,Genesis 9:8-17,Rainbow covenant,Old Testament,Narrative
Creation & Primeval History,The Flood,FINE_GRAINED,Direct Reference,1 Peter 3:18-22,Noah as salvation type,New Testament,General
Creation & Primeval History,The Flood,FINE_GRAINED,Direct Reference,2 Peter 2:5,Noah preserved,New Testament,General
Creation & Primeval History,The Flood,FINE_GRAINED,Direct Reference,Matthew 24:37-39,Days of Noah,New Testament,Gospel
Creation & Primeval History,Post-Flood History,MID_LEVEL,,,Post-Flood History - 4 passages,Old Testament,General
Creation & Primeval History,Post-Flood History,FINE_GRAINED,Direct Reference,Genesis 9:18-29,Noah's vineyard,Old Testament,Narrative
Creation & Primeval History,Post-Flood History,FINE_GRAINED,Direct Reference,Genesis 10,Table of nations,Old Testament,Narrative
Creation & Primeval History,Post-Flood History,FINE_GRAINED,Direct Reference,Genesis 11:1-9,Tower of Babel,Old Testament,Narrative
Creation & Primeval History,Post-Flood History,FINE_GRAINED,Direct Reference,Genesis 11:10-32,Shem to Terah,Old Testament,Narrative
Patriarchs & Matriarchs,Abraham's Call,MID_LEVEL,,,Abraham's Call - 7 passages,Old Testament,General
Patriarchs & Matriarchs,Abraham's Call,FINE_GRAINED,Direct Reference,Genesis 12:1-3,Call and promises,Old Testament,Narrative
Patriarchs & Matriarchs,Abraham's Call,FINE_GRAINED,Direct Reference,Genesis 12:4-9,Journey to Canaan,Old Testament,Narrative
Patriarchs & Matriarchs,Abraham's Call,FINE_GRAINED,Direct Reference,Genesis 12:10-20,Egypt sojourn,Old Testament,Narrative
Patriarchs & Matriarchs,Abraham's Call,FINE_GRAINED,Direct Reference,Acts 7:2-5,Stephen on Abraham,New Testament,General
Patriarchs & Matriarchs,Abraham's Call,FINE_GRAINED,Direct Reference,Romans 4,Abraham's faith,New Testament,Epistle
Patriarchs & Matriarchs,Abraham's Call,FINE_GRAINED,Direct Reference,Galatians 3:6-9,Blessing of Abraham,New Testament,Epistle
Patriarchs & Matriarchs,Abraham's Call,FINE_GRAINED,Direct Reference,Hebrews 11:8-10,Faith journey,New Testament,General
Patriarchs & Matriarchs,Abraham & Lot,MID_LEVEL,,,Abraham & Lot - 6 passages,Old Testament,General
Patriarchs & Matriarchs,Abraham & Lot,FINE_GRAINED,Direct Reference,Genesis 13,Separation,Old Testament,Narrative
Patriarchs & Matriarchs,Abraham & Lot,FINE_GRAINED,Direct Reference,Genesis 14,Rescue of Lot,Old Testament,Narrative
Patriarchs & Matriarchs,Abraham & Lot,FINE_GRAINED,Direct Reference,Genesis 18-19,Sodom intercession,Old Testament,Narrative
Patriarchs & Matriarchs,Abraham & Lot,FINE_GRAINED,Direct Reference,Genesis 19,Lot's escape,Old Testament,Narrative
Patriarchs & Matriarchs,Abraham & Lot,FINE_GRAINED,Direct Reference,Luke 17:28-32,Days of Lot,New Testament,Gospel
Patriarchs & Matriarchs,Abraham & Lot,FINE_GRAINED,Direct Reference,2 Peter 2:7-8,Righteous Lot,New Testament,General
Patriarchs & Matriarchs,Abrahamic Covenant,MID_LEVEL,,,Abrahamic Covenant - 6 passages,Old Testament,General
Patriarchs & Matriarchs,Abrahamic Covenant,FINE_GRAINED,Direct Reference,Genesis 15,Covenant ceremony,Old Testament,Narrative
Patriarchs & Matriarchs,Abrahamic Covenant,FINE_GRAINED,Direct Reference,Genesis 17,Name change & circumcision,Old Testament,Narrative
Patriarchs & Matriarchs,Abrahamic Covenant,FINE_GRAINED,Direct Reference,Genesis 22,Binding of Isaac,Old Testament,Narrative
Patriarchs & Matriarchs,Abrahamic Covenant,FINE_GRAINED,Direct Reference,Romans 4,Covenant faith,New Testament,Epistle
Patriarchs & Matriarchs,Abrahamic Covenant,FINE_GRAINED,Direct Reference,Galatians 3-4,Covenant fulfillment,New Testament,Epistle
Patriarchs & Matriarchs,Abrahamic Covenant,FINE_GRAINED,Direct Reference,Hebrews 6:13-20,Covenant oath,New Testament,General
Patriarchs & Matriarchs,Sarah & Hagar,MID_LEVEL,,,Sarah & Hagar - 6 passages,Old Testament,General
Patriarchs & Matriarchs,Sarah & Hagar,FINE_GRAINED,Direct Reference,Genesis 16,Hagar and Ishmael,Old Testament,Narrative
Patriarchs & Matriarchs,Sarah & Hagar,FINE_GRAINED,Direct Reference,Genesis 18,Sarah's laughter,Old Testament,Narrative
Patriarchs & Matriarchs,Sarah & Hagar,FINE_GRAINED,Direct Reference,Genesis 20,Sarah as sister,Old Testament,Narrative
Patriarchs & Matriarchs,Sarah & Hagar,FINE_GRAINED,Direct Reference,Genesis 21,Ishmael's birth,Old Testament,Narrative
Patriarchs & Matriarchs,Sarah & Hagar,FINE_GRAINED,Direct Reference,Galatians 4:21-31,Hagar/Sarah allegory,New Testament,Epistle
Patriarchs & Matriarchs,Sarah & Hagar,FINE_GRAINED,Direct Reference,1 Peter 3:6,Sarah's obedience,New Testament,General
Patriarchs & Matriarchs,Isaac,MID_LEVEL,,,Isaac - 7 passages,Old Testament,General
Patriarchs & Matriarchs,Isaac,FINE_GRAINED,Direct Reference,Genesis 21:1-7,Isaac's birth,Old Testament,Narrative
Patriarchs & Matriarchs,Isaac,FINE_GRAINED,Direct Reference,Genesis 22,Binding,Old Testament,Narrative
Patriarchs & Matriarchs,Isaac,FINE_GRAINED,Direct Reference,Genesis 24,Marriage to Rebekah,Old Testament,Narrative
Patriarchs & Matriarchs,Isaac,FINE_GRAINED,Direct Reference,Genesis 25:21-28,Jacob/Esau birth,Old Testament,Narrative
Patriarchs & Matriarchs,Isaac,FINE_GRAINED,Direct Reference,Genesis 26,Isaac's narrative,Old Testament,Narrative
Patriarchs & Matriarchs,Isaac,FINE_GRAINED,Direct Reference,Romans 9:7-9,Isaac as promised child,New Testament,Epistle
Patriarchs & Matriarchs,Isaac,FINE_GRAINED,Direct Reference,Hebrews 11:17-19,Isaac's near-sacrifice,New Testament,General
Patriarchs & Matriarchs,Jacob,MID_LEVEL,,,Jacob - 10 passages,Old Testament,General
Patriarchs & Matriarchs,Jacob,FINE_GRAINED,Direct Reference,Genesis 25:29-34,Birthright sold,Old Testament,Narrative
Patriarchs & Matriarchs,Jacob,FINE_GRAINED,Direct Reference,Genesis 27,Blessing deception,Old Testament,Narrative
Patriarchs & Matriarchs,Jacob,FINE_GRAINED,Direct Reference,Genesis 28,Jacob's ladder,Old Testament,Narrative
Patriarchs & Matriarchs,Jacob,FINE_GRAINED,Direct Reference,Genesis 29-30,Marriages and children,Old Testament,Narrative
Patriarchs & Matriarchs,Jacob,FINE_GRAINED,Direct Reference,Genesis 32,Wrestles with God,Old Testament,Narrative
Patriarchs & Matriarchs,Jacob,FINE_GRAINED,Direct Reference,Genesis 33,Reconciliation with Esau,Old Testament,Narrative
Patriarchs & Matriarchs,Jacob,FINE_GRAINED,Direct Reference,Genesis 35,Return to Bethel,Old Testament,Narrative
Patriarchs & Matriarchs,Jacob,FINE_GRAINED,Direct Reference,Genesis 37-50,Joseph connection,Old Testament,Narrative
Patriarchs & Matriarchs,Jacob,FINE_GRAINED,Direct Reference,Romans 9:10-13,Jacob's election,New Testament,Epistle
Patriarchs & Matriarchs,Jacob,FINE_GRAINED,Direct Reference,Hebrews 11:20-21,Jacob's blessings,New Testament,General
Patriarchs & Matriarchs,Joseph,MID_LEVEL,,,Joseph - 9 passages,Old Testament,General
Patriarchs & Matriarchs,Joseph,FINE_GRAINED,Direct Reference,Genesis 37,Dreams and betrayal,Old Testament,Narrative
Patriarchs & Matriarchs,Joseph,FINE_GRAINED,Direct Reference,Genesis 39,Potiphar's house,Old Testament,Narrative
Patriarchs & Matriarchs,Joseph,FINE_GRAINED,Direct Reference,Genesis 40,Prison interpretations,Old Testament,Narrative
Patriarchs & Matriarchs,Joseph,FINE_GRAINED,Direct Reference,Genesis 41,Rise to power,Old Testament,Narrative
Patriarchs & Matriarchs,Joseph,FINE_GRAINED,Direct Reference,Genesis 42-45,Brothers' reconciliation,Old Testament,Narrative
Patriarchs & Matriarchs,Joseph,FINE_GRAINED,Direct Reference,Genesis 46-47,Family to Egypt,Old Testament,Narrative
Patriarchs & Matriarchs,Joseph,FINE_GRAINED,Direct Reference,Genesis 50,Death and legacy,Old Testament,Narrative
Patriarchs & Matriarchs,Joseph,FINE_GRAINED,Direct Reference,Acts 7:9-16,Joseph in Stephen's speech,New Testament,General
Patriarchs & Matriarchs,Joseph,FINE_GRAINED,Direct Reference,Hebrews 11:22,Joseph's faith,New Testament,General
Exodus & Wilderness,Israel in Egypt,MID_LEVEL,,,Israel in Egypt - 6 passages,Old Testament,Narrative
Exodus & Wilderness,Israel in Egypt,FINE_GRAINED,Direct Reference,Exodus 1,Oppression begins,Old Testament,Narrative
Exodus & Wilderness,Israel in Egypt,FINE_GRAINED,Direct Reference,Exodus 2,Moses' birth,Old Testament,Narrative
Exodus & Wilderness,Israel in Egypt,FINE_GRAINED,Direct Reference,Exodus 2:11-25,Moses flees,Old Testament,Narrative
Exodus & Wilderness,Israel in Egypt,FINE_GRAINED,Direct Reference,Exodus 3-4,Burning bush,Old Testament,Narrative
Exodus & Wilderness,Israel in Egypt,FINE_GRAINED,Direct Reference,Acts 7:17-36,Stephen on Moses,New Testament,General
Exodus & Wilderness,Israel in Egypt,FINE_GRAINED,Direct Reference,Hebrews 11:23-29,Parents' and Moses' faith,New Testament,General
Exodus & Wilderness,The Plagues,MID_LEVEL,,,The Plagues - 6 passages,Old Testament,Narrative
Exodus & Wilderness,The Plagues,FINE_GRAINED,Direct Reference,Exodus 7:14-12:36,Ten plagues,Old Testament,Narrative
Exodus & Wilderness,The Plagues,FINE_GRAINED,Direct Reference,Psalm 78:42-51,Plagues in Psalm,Old Testament,Poetry
Exodus & Wilderness,The Plagues,FINE_GRAINED,Direct Reference,Psalm 105:26-36,Plagues in Psalm,Old Testament,Poetry
Exodus & Wilderness,The Plagues,FINE_GRAINED,Direct Reference,Psalm 135:8-9,Plagues in Psalm,Old Testament,Poetry
Exodus & Wilderness,The Plagues,FINE_GRAINED,Direct Reference,Wisdom 16-19,Philosophy of plagues,Apocrypha,General
Exodus & Wilderness,The Plagues,FINE_GRAINED,Direct Reference,Revelation 8-16,Plague imagery,New Testament,Apocalypse
Exodus & Wilderness,Passover,MID_LEVEL,,,Passover - 11 passages,Old Testament,Narrative
Exodus & Wilderness,Passover,FINE_GRAINED,Direct Reference,Exodus 12,Passover institution,Old Testament,Narrative
Exodus & Wilderness,Passover,FINE_GRAINED,Direct Reference,Exodus 13,Unleavened bread,Old Testament,Narrative
Exodus & Wilderness,Passover,FINE_GRAINED,Direct Reference,Numbers 9,Second Passover,Old Testament,Narrative
Exodus & Wilderness,Passover,FINE_GRAINED,Direct Reference,Deuteronomy 16,Passover law,Old Testament,Narrative
Exodus & Wilderness,Passover,FINE_GRAINED,Direct Reference,Joshua 5,Canaan Passover,Old Testament,Narrative
Exodus & Wilderness,Passover,FINE_GRAINED,Direct Reference,2 Kings 23,Josiah's Passover,Old Testament,Narrative
Exodus & Wilderness,Passover,FINE_GRAINED,Direct Reference,2 Chronicles 30,Hezekiah's Passover,Old Testament,Narrative
Exodus & Wilderness,Passover,FINE_GRAINED,Direct Reference,Ezra 6,Return Passover,Old Testament,Narrative
Exodus & Wilderness,Passover,FINE_GRAINED,Direct Reference,Matthew 26,Last Supper,New Testament,Gospel
Exodus & Wilderness,Passover,FINE_GRAINED,Direct Reference,1 Corinthians 5:7,Christ our Passover,New Testament,Epistle
Exodus & Wilderness,Passover,FINE_GRAINED,Direct Reference,Hebrews 11:28,Faith kept Passover,New Testament,General
Exodus & Wilderness,Crossing the Sea,MID_LEVEL,,,Crossing the Sea - 9 passages,Old Testament,Narrative
Exodus & Wilderness,Crossing the Sea,FINE_GRAINED,Direct Reference,Exodus 14,Red Sea crossing,Old Testament,Narrative
Exodus & Wilderness,Crossing the Sea,FINE_GRAINED,Direct Reference,Exodus 15,Song of the sea,Old Testament,Narrative
Exodus & Wilderness,Crossing the Sea,FINE_GRAINED,Direct Reference,Numbers 33:8,Wilderness route,Old Testament,Narrative
Exodus & Wilderness,Crossing the Sea,FINE_GRAINED,Direct Reference,Psalm 106:7-12,Sea crossing,Old Testament,Poetry
Exodus & Wilderness,Crossing the Sea,FINE_GRAINED,Direct Reference,Psalm 136:13-16,Sea crossing,Old Testament,Poetry
Exodus & Wilderness,Crossing the Sea,FINE_GRAINED,Direct Reference,Nehemiah 9:9-11,Sea crossing,Old Testament,Narrative
Exodus & Wilderness,Crossing the Sea,FINE_GRAINED,Direct Reference,Acts 7:36,Stephen on Red Sea,New Testament,General
Exodus & Wilderness,Crossing the Sea,FINE_GRAINED,Direct Reference,1 Corinthians 10:1-2,Baptized into Moses,New Testament,Epistle
Exodus & Wilderness,Crossing the Sea,FINE_GRAINED,Direct Reference,Hebrews 11:29,Faith crossed sea,New Testament,General
Exodus & Wilderness,Wilderness Journey,MID_LEVEL,,,Wilderness Journey - 7 passages,Old Testament,Narrative
Exodus & Wilderness,Wilderness Journey,FINE_GRAINED,Direct Reference,Numbers 10-21,Wilderness wanderings,Old Testament,Narrative
Exodus & Wilderness,Wilderness Journey,FINE_GRAINED,Direct Reference,Deuteronomy 1-3,Wilderness review,Old Testament,Narrative
Exodus & Wilderness,Wilderness Journey,FINE_GRAINED,Direct Reference,Psalm 78:12-16,Wilderness provision,Old Testament,Poetry
Exodus & Wilderness,Wilderness Journey,FINE_GRAINED,Direct Reference,Psalm 95:7-11,Wilderness testing,Old Testament,Poetry
Exodus & Wilderness,Wilderness Journey,FINE_GRAINED,Direct Reference,Psalm 107:4-9,Wilderness wandering,Old Testament,Poetry
Exodus & Wilderness,Wilderness Journey,FINE_GRAINED,Direct Reference,Hebrews 3-4,Rest and wilderness,New Testament,General
Exodus & Wilderness,Wilderness Journey,FINE_GRAINED,Direct Reference,1 Corinthians 10:1-13,Wilderness examples,New Testament,Epistle
Exodus & Wilderness,Manna & Water,MID_LEVEL,,,Manna & Water - 8 passages,Old Testament,Narrative
Exodus & Wilderness,Manna & Water,FINE_GRAINED,Direct Reference,Exodus 16,Manna from heaven,Old Testament,Narrative
Exodus & Wilderness,Manna & Water,FINE_GRAINED,Direct Reference,Exodus 17,Water from rock,Old Testament,Narrative
Exodus & Wilderness,Manna & Water,FINE_GRAINED,Direct Reference,Numbers 20,Second water,Old Testament,Narrative
Exodus & Wilderness,Manna & Water,FINE_GRAINED,Direct Reference,Deuteronomy 8,Wilderness provision,Old Testament,Narrative
Exodus & Wilderness,Manna & Water,FINE_GRAINED,Direct Reference,Nehemiah 9:15-21,God's provision,Old Testament,Narrative
Exodus & Wilderness,Manna & Water,FINE_GRAINED,Direct Reference,Psalm 78:23-31,Manna in Psalm,Old Testament,Poetry
Exodus & Wilderness,Manna & Water,FINE_GRAINED,Direct Reference,John 6:31-35,Manna symbolism,New Testament,Gospel
Exodus & Wilderness,Manna & Water,FINE_GRAINED,Direct Reference,1 Corinthians 10:3-4,Spiritual food/drink,New Testament,Epistle
Exodus & Wilderness,Sinai Covenant,MID_LEVEL,,,Sinai Covenant - 7 passages,Old Testament,Narrative
Exodus & Wilderness,Sinai Covenant,FINE_GRAINED,Direct Reference,Exodus 19-24,Covenant establishment,Old Testament,Narrative
Exodus & Wilderness,Sinai Covenant,FINE_GRAINED,Direct Reference,Deuteronomy 5,Ten Commandments,Old Testament,Narrative
Exodus & Wilderness,Sinai Covenant,FINE_GRAINED,Direct Reference,Deuteronomy 28,Blessings/curses,Old Testament,Narrative
Exodus & Wilderness,Sinai Covenant,FINE_GRAINED,Direct Reference,Jeremiah 31:31-34,New covenant,Old Testament,Prophecy
Exodus & Wilderness,Sinai Covenant,FINE_GRAINED,Direct Reference,Hebrews 8-10,Better covenant,New Testament,General
Exodus & Wilderness,Sinai Covenant,FINE_GRAINED,Direct Reference,2 Corinthians 3,Glorious ministry,New Testament,Epistle
Exodus & Wilderness,Sinai Covenant,FINE_GRAINED,Direct Reference,Galatians 3-4,Covenant purpose,New Testament,Epistle
Exodus & Wilderness,The Tabernacle,MID_LEVEL,,,The Tabernacle - 8 passages,Old Testament,Narrative
Exodus & Wilderness,The Tabernacle,FINE_GRAINED,Direct Reference,Exodus 25-31,Instructions,Old Testament,Narrative
Exodus & Wilderness,The Tabernacle,FINE_GRAINED,Direct Reference,Exodus 35-40,Construction,Old Testament,Narrative
Exodus & Wilderness,The Tabernacle,FINE_GRAINED,Direct Reference,Leviticus 1-7,Sacrifices,Old Testament,Narrative
Exodus & Wilderness,The Tabernacle,FINE_GRAINED,Direct Reference,Leviticus 16,Day of Atonement,Old Testament,Narrative
Exodus & Wilderness,The Tabernacle,FINE_GRAINED,Direct Reference,Numbers 1-10,Organization,Old Testament,Narrative
Exodus & Wilderness,The Tabernacle,FINE_GRAINED,Direct Reference,Hebrews 8-9,Heavenly tabernacle,New Testament,General
Exodus & Wilderness,The Tabernacle,FINE_GRAINED,Direct Reference,Hebrews 10,Better sacrifice,New Testament,General
Exodus & Wilderness,The Tabernacle,FINE_GRAINED,Direct Reference,Revelation 21-22,New Jerusalem,New Testament,Apocalypse
Exodus & Wilderness,Wilderness Rebellion,MID_LEVEL,,,Wilderness Rebellion - 10 passages,Old Testament,Narrative
Exodus & Wilderness,Wilderness Rebellion,FINE_GRAINED,Direct Reference,Numbers 13-14,Spies and rebellion,Old Testament,Narrative
Exodus & Wilderness,Wilderness Rebellion,FINE_GRAINED,Direct Reference,Numbers 16,Korah's rebellion,Old Testament,Narrative
Exodus & Wilderness,Wilderness Rebellion,FINE_GRAINED,Direct Reference,Numbers 20,Moses strikes rock,Old Testament,Narrative
Exodus & Wilderness,Wilderness Rebellion,FINE_GRAINED,Direct Reference,Numbers 21,Bronze serpent,Old Testament,Narrative
Exodus & Wilderness,Wilderness Rebellion,FINE_GRAINED,Direct Reference,Deuteronomy 1:19-46,Rebellion review,Old Testament,Narrative
Exodus & Wilderness,Wilderness Rebellion,FINE_GRAINED,Direct Reference,Psalm 78:32-41,Wilderness testing,Old Testament,Poetry
Exodus & Wilderness,Wilderness Rebellion,FINE_GRAINED,Direct Reference,Psalm 95:7-11,Wilderness testing,Old Testament,Poetry
Exodus & Wilderness,Wilderness Rebellion,FINE_GRAINED,Direct Reference,1 Corinthians 10:6-11,Warnings,New Testament,Epistle
Exodus & Wilderness,Wilderness Rebellion,FINE_GRAINED,Direct Reference,Hebrews 3:7-19,Wilderness rest,New Testament,General
Exodus & Wilderness,Wilderness Rebellion,FINE_GRAINED,Direct Reference,Jude 1:5,Unfaithfulness,New Testament,General
Conquest & Judges,Entering Canaan,MID_LEVEL,,,Entering Canaan - 7 passages,Old Testament,Narrative
Conquest & Judges,Entering Canaan,FINE_GRAINED,Direct Reference,Deuteronomy 31-34,Moses' death,Old Testament,Narrative
Conquest & Judges,Entering Canaan,FINE_GRAINED,Direct Reference,Joshua 1-5,Jordan crossing,Old Testament,Narrative
Conquest & Judges,Entering Canaan,FINE_GRAINED,Direct Reference,Joshua 6,Jericho falls,Old Testament,Narrative
Conquest & Judges,Entering Canaan,FINE_GRAINED,Direct Reference,Joshua 7,Achan's sin,Old Testament,Narrative
Conquest & Judges,Entering Canaan,FINE_GRAINED,Direct Reference,Joshua 8-12,Conquest narrative,Old Testament,Narrative
Conquest & Judges,Entering Canaan,FINE_GRAINED,Direct Reference,Hebrews 4:8,Joshua's rest,New Testament,General
Conquest & Judges,Entering Canaan,FINE_GRAINED,Direct Reference,Acts 7:45,Stephen on Joshua,New Testament,General
Conquest & Judges,Land Distribution,MID_LEVEL,,,Land Distribution - 4 passages,Old Testament,Narrative
Conquest & Judges,Land Distribution,FINE_GRAINED,Direct Reference,Joshua 13-22,Tribal allotments,Old Testament,Narrative
Conquest & Judges,Land Distribution,FINE_GRAINED,Direct Reference,Joshua 23-24,Joshua's farewell,Old Testament,Narrative
Conquest & Judges,Land Distribution,FINE_GRAINED,Direct Reference,Judges 1,Incomplete conquest,Old Testament,Narrative
Conquest & Judges,Land Distribution,FINE_GRAINED,Direct Reference,Judges 2,Israel's failure,Old Testament,Narrative
Conquest & Judges,The Judges Cycle,MID_LEVEL,,,The Judges Cycle - 9 passages,Old Testament,Narrative
Conquest & Judges,The Judges Cycle,FINE_GRAINED,Direct Reference,Judges 2:6-23,Judge cycle pattern,Old Testament,Narrative
Conquest & Judges,The Judges Cycle,FINE_GRAINED,Direct Reference,Judges 3,Othniel & Ehud,Old Testament,Narrative
Conquest & Judges,The Judges Cycle,FINE_GRAINED,Direct Reference,Judges 4-5,Deborah & Barak,Old Testament,Narrative
Conquest & Judges,The Judges Cycle,FINE_GRAINED,Direct Reference,Judges 6-8,Gideon,Old Testament,Narrative
Conquest & Judges,The Judges Cycle,FINE_GRAINED,Direct Reference,Judges 9,Abimelech,Old Testament,Narrative
Conquest & Judges,The Judges Cycle,FINE_GRAINED,Direct Reference,Judges 10-12,"Tola, Jair, Jephthah",Old Testament,Narrative
Conquest & Judges,The Judges Cycle,FINE_GRAINED,Direct Reference,Judges 13-16,Samson,Old Testament,Narrative
Conquest & Judges,The Judges Cycle,FINE_GRAINED,Direct Reference,Judges 17-21,Epilogue,Old Testament,Narrative
